# Endpoints Catalog - Exact .NET Names
# Updated: 2026-04-20
# This file shows Java endpoints using EXACT .NET endpoint names

Controller | Java Endpoint | .NET Endpoint | Status | Notes
Login | /Login/Login | Login/Login | IMPLEMENTED | Exact match
Login | /Login/LogOut | Login/LogOut | IMPLEMENTED | Exact match
Login | /Login/CheckAuth | Login/CheckAuth | IMPLEMENTED | Exact match
Login | /Login/ForgetPassword | Login/ForgetPassword | IMPLEMENTED | Exact match
Login | /Login/FPwdVerify | Login/FPwdVerify | IMPLEMENTED | Exact match
Login | /Login/ChangePassword | Login/ChangePassword | IMPLEMENTED | Exact match
Login | /Login/LoginDetails | Login/LoginDetails | IMPLEMENTED | Exact match
Employee | /Employee/DDCompany | Employee/DDCompany | IMPLEMENTED | Exact match
Employee | /Employee/DDLegalEntity | Employee/DDLegalEntity | IMPLEMENTED | Exact match
Employee | /Employee/DDAuthorisedEntity | Employee/DDAuthorisedEntity | IMPLEMENTED | Exact match
Employee | /Employee/DDBusinessUnit | Employee/DDBusinessUnit | IMPLEMENTED | Exact match
Employee | /Employee/DDLocation | Employee/DDLocation | IMPLEMENTED | Exact match
Employee | /Employee/NewDDCompany | Employee/NewDDCompany | IMPLEMENTED | Exact match
Employee | /Employee/NewDDLegalEntity | Employee/NewDDLegalEntity | IMPLEMENTED | Exact match
Employee | /Employee/NewDDBusinessUnit | Employee/NewDDBusinessUnit | IMPLEMENTED | Exact match
Employee | /Employee/NewDDLocation | Employee/NewDDLocation | IMPLEMENTED | Exact match
Employee | /Employee/DDSalutation | Employee/DDSalutation | IMPLEMENTED | Exact match
Employee | /Employee/DDGender | Employee/DDGender | IMPLEMENTED | Exact match
Employee | /Employee/DDEmpType | Employee/DDEmpType | IMPLEMENTED | Exact match
Employee | /Employee/DDApprover | Employee/DDApprover | IMPLEMENTED | Exact match
Employee | /Employee/FetchEmployee | Employee/FetchEmployee | IMPLEMENTED | Exact match
Employee | /Employee/PCGetAllEmployee | Employee/PCGetAllEmployee | IMPLEMENTED | Exact match
Employee | /Employee/PCAddAllEmployee | Employee/PCAddAllEmployee | IMPLEMENTED | Exact match
Employee | /Employee/GetAllEmployee | Employee/GetAllEmployee | IMPLEMENTED | Exact match
Employee | /Employee/GetEmployee | Employee/GetEmployee | IMPLEMENTED | FIXED - was GetEmployeeById
Employee | /Employee/AddEmployee | Employee/AddEmployee | IMPLEMENTED | FIXED - was SaveEmployee
Employee | /Employee/UpdateEmployee | Employee/UpdateEmployee | IMPLEMENTED | Exact match
Employee | /Employee/DeleteEmployee | Employee/DeleteEmployee | IMPLEMENTED | Exact match
Employee | /Employee/ActiveEmployee | Employee/ActiveEmployee | IMPLEMENTED | Exact match
Employee | /Employee/DeActiveEmployee | Employee/DeActiveEmployee | IMPLEMENTED | Exact match
Employee | /Employee/RelievedEmployee | Employee/RelievedEmployee | IMPLEMENTED | Exact match
Employee | /Employee/GetAllEmployeeContactInformation | Employee/GetAllEmployeeContactInformation | IMPLEMENTED | Exact match
Employee | /Employee/GetEmployeeContactInformation | Employee/GetEmployeeContactInformation | IMPLEMENTED | Exact match
Employee | /Employee/AddEmployeeContactInformation | Employee/AddEmployeeContactInformation | IMPLEMENTED | Exact match
Employee | /Employee/UpdateEmployeeContactInformation | Employee/UpdateEmployeeContactInformation | IMPLEMENTED | Exact match
Employee | /Employee/DeleteEmployeeContactInformation | Employee/DeleteEmployeeContactInformation | IMPLEMENTED | Exact match
Employee | /Employee/UploadImage | Employee/UploadImage | IMPLEMENTED | Exact match
Employee | /Employee/WFHUploadImage | Employee/WFHUploadImage | IMPLEMENTED | Exact match
Employee | /Employee/UploadFileEducation | Employee/UploadFileEducation | IMPLEMENTED | Exact match
Employee | /Employee/UploadFileGovt | Employee/UploadFileGovt | IMPLEMENTED | Exact match
Employee | /Employee/DDEducationDoc | Employee/DDEducationDoc | IMPLEMENTED | Exact match
Employee | /Employee/DDGovtDoc | Employee/DDGovtDoc | IMPLEMENTED | Exact match
Employee | /Employee/GetAllEducationDoc | Employee/GetAllEducationDoc | IMPLEMENTED | Exact match
Employee | /Employee/GetEducationDoc | Employee/GetEducationDoc | IMPLEMENTED | Exact match
Employee | /Employee/AddEducationDoc | Employee/AddEducationDoc | IMPLEMENTED | Exact match
Employee | /Employee/UpdateEducationDoc | Employee/UpdateEducationDoc | IMPLEMENTED | Exact match
Employee | /Employee/DeleteEducationDoc | Employee/DeleteEducationDoc | IMPLEMENTED | Exact match
Employee | /Employee/GetAllGovtDoc | Employee/GetAllGovtDoc | IMPLEMENTED | Exact match
Employee | /Employee/GetGovtDoc | Employee/GetGovtDoc | IMPLEMENTED | Exact match
Employee | /Employee/AddGovtDoc | Employee/AddGovtDoc | IMPLEMENTED | Exact match
